chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
0.159641176,0.017932953,0.003175662,0.001641857,0.000119147,NA
0.13519684,0.015013644,0.003345491,0.001199861,9.00E-05,NA
0.115886898,0.013928218,0.003308355,0.001001321,7.99E-05,NA
0.165458701,0.014075317,0.004980099,0.000943733,6.21E-05,NA
0.103312995,0.011009228,0.004092067,0.000612995,4.69E-05,NA
0.125187832,0.015876538,0.002656495,0.001226958,8.62E-05,NA
0.143953758,0.014766905,0.004248998,0.001052786,7.72E-05,NA
0.071882401,0.010627332,0.002317848,0.000626542,5.17E-05,NA
0.085596834,0.010743676,0.003270528,0.000657735,5.70E-05,NA
0.043670096,0.007661687,0.002309533,0.000337324,3.37E-05,NA
0.071366989,0.00758221,0.003852368,0.000423322,3.70E-05,NA
0.069536436,0.008404417,0.003027179,0.00045266,3.81E-05,NA
0.091329475,0.013851044,0.002635167,0.000844503,6.65E-05,NA
0.082648161,0.014373182,0.002688582,0.000781773,6.50E-05,NA
0.071201556,0.014064463,0.002331997,0.000743488,6.34E-05,NA
0.067322946,0.006730615,0.004761286,0.000341154,3.05E-05,NA
0.035566243,0.006009351,0.002813438,0.000226222,2.49E-05,NA
0.067537357,0.007280458,0.00316152,0.000444651,3.88E-05,NA
0.056437341,0.00715155,0.00263323,0.000419566,3.96E-05,NA
0.107520465,0.010202818,0.004043156,0.000681715,5.19E-05,NA
0.060424687,0.008408564,0.002954327,0.000452055,4.37E-05,NA
0.043482169,0.007451812,0.003013614,0.000284669,2.97E-05,NA
0.054473585,0.008020273,0.002865675,0.000368551,3.44E-05,NA
0.072890639,0.010068964,0.00277042,0.000613555,5.62E-05,NA
0.267336366,0.028532898,0.006040564,0.001986441,0.000129498,NA
0.62795536,0.061599331,0.017196947,0.00339297,0.000200429,NA
0.408932134,0.043960825,0.018300102,0.001687356,0.00011195,NA
0.668358955,0.080567704,0.040181072,0.002441707,0.00015756,NA
0.35954141,0.051137429,0.0035044,0.00676641,0.000444531,NA
1.258360264,0.070548582,0.004404368,0.025784517,0.001120816,NA
1.282953696,0.076050813,0.00398834,0.030602277,0.001358533,NA
0.273583048,0.03170911,0.003105332,0.004266117,0.000285682,NA
0.302053873,0.034869062,0.003783833,0.003856792,0.000240613,NA
0.182161312,0.024140806,0.008767306,0.000950002,7.48E-05,NA
0.121949155,0.015042913,0.005928341,0.000659633,5.31E-05,NA
0.115829211,0.014126278,0.006057846,0.000601009,4.90E-05,NA
0.228949386,0.026698088,0.010483834,0.001090831,8.01E-05,NA
0.267650175,0.031292604,0.008710316,0.001583414,0.000110494,NA
0.271237294,0.035974619,0.009072983,0.001717328,0.000124929,NA
0.311805567,0.032821397,0.010147379,0.001670035,0.000110947,NA
0.35865099,0.03145263,0.010038339,0.001858069,0.00011323,NA
0.209862986,0.025792467,0.004205297,0.001980781,0.000134329,NA
0.250643569,0.030967023,0.004315307,0.0026326,0.000174799,NA
0.253328685,0.033349284,0.004314787,0.002820018,0.000191,NA
0.214559188,0.021731003,0.005016296,0.001553736,0.000101474,NA
0.300041087,0.032691939,0.003824419,0.003600682,0.000220766,NA
0.245274089,0.027221737,0.00390039,0.002534722,0.000160926,NA
0.214640785,0.025027146,0.003949249,0.002302214,0.000162754,NA
0.233625765,0.02540347,0.004287499,0.002129984,0.000137024,NA
0.063246988,0.009349794,0.00265314,0.000477131,4.20E-05,NA
0.046527814,0.007306188,0.002655919,0.00032093,3.16E-05,NA
0.037101762,0.008422796,0.001936401,0.000342391,3.64E-05,NA
0.076042854,0.010750681,0.002849598,0.000581251,4.85E-05,NA
0.061587473,0.009171534,0.002804792,0.000445703,4.00E-05,NA
0.067524474,0.00889839,0.003046257,0.000452164,3.91E-05,NA
0.060697212,0.008214506,0.003244751,0.000380752,3.45E-05,NA
0.03455982,0.006061616,0.002527684,0.000234716,2.58E-05,NA
0.039566223,0.006205154,0.002786791,0.000253014,2.64E-05,NA
0.034590417,0.005815494,0.002973388,0.000211728,2.37E-05,NA
0.019707834,0.003872267,0.003076258,0.000113645,1.59E-05,NA
0.02516432,0.004820768,0.00273881,0.000158552,1.99E-05,NA
0.017182583,0.003930558,0.002746155,0.000108358,1.61E-05,NA
0.025916094,0.004242314,0.003611755,0.00013559,1.71E-05,NA
0.023765534,0.003947952,0.003496569,0.000125448,1.63E-05,NA
0.030776948,0.004744383,0.003010028,0.000195841,2.35E-05,NA
0.024364934,0.004708318,0.002895063,0.000148142,1.91E-05,NA
0.032535209,0.005054349,0.003423165,0.000177515,2.04E-05,NA
0.03555937,0.005353728,0.003296097,0.000220751,2.55E-05,NA
0.045871824,0.006062233,0.003361357,0.000283996,2.95E-05,NA
0.030387931,0.005639757,0.002922381,0.000189474,2.25E-05,NA
0.040729313,0.006133929,0.003418833,0.000230646,2.45E-05,NA
0.050389046,0.006722997,0.003458197,0.000316606,3.22E-05,NA
0.052413688,0.006916562,0.003404961,0.000334425,3.35E-05,NA
0.056518228,0.010892566,0.001410427,0.000692113,5.79E-05,NA
0.085680873,0.011550126,0.002940547,0.00066087,5.30E-05,NA
0.086513267,0.011087643,0.002670457,0.000693303,5.41E-05,NA
0.114673385,0.011847482,0.003466882,0.000869281,6.62E-05,NA
0.108982817,0.011084796,0.003410661,0.000808246,6.18E-05,NA
0.106847197,0.011542279,0.003488733,0.000799452,6.29E-05,NA
0.1399797,0.013047276,0.003437195,0.001113398,7.80E-05,NA
0.24312749,0.01440586,0.007450295,0.001147621,6.51E-05,NA
0.077322134,0.010999119,0.002110467,0.000724955,5.72E-05,NA
0.141313187,0.013511421,0.003446842,0.001144707,8.08E-05,NA
0.110324806,0.011863976,0.003752088,0.000795001,6.23E-05,NA
0.163832019,0.016077076,0.003835772,0.001353672,9.40E-05,NA
0.09427697,0.0125881,0.002445095,0.000858839,6.48E-05,NA
0.3010792,0.023743375,0.006692785,0.001989927,0.000116788,NA
0.099367573,0.010742475,0.003522685,0.000714912,5.72E-05,NA
0.099185203,0.011639345,0.003416868,0.000762529,6.26E-05,NA
0.126331791,0.014584432,0.0036841,0.001031006,8.02E-05,NA
0.1304082,0.01527954,0.003591036,0.001001506,7.21E-05,NA
0.08765881,0.010386059,0.003507552,0.000629099,5.35E-05,NA
0.071499634,0.009747549,0.003691098,0.000442834,3.91E-05,NA
0.072104559,0.010831642,0.003037268,0.00053454,4.64E-05,NA
0.092896256,0.013049661,0.003559559,0.000672647,5.50E-05,NA
0.114562793,0.015391228,0.003675147,0.00087963,6.78E-05,NA
0.118165717,0.01406502,0.004450596,0.000748682,5.74E-05,NA
0.096867758,0.012165232,0.003857086,0.000634854,5.08E-05,NA
0.099110397,0.012183538,0.003700214,0.000666856,5.24E-05,NA
0.120415508,0.013606207,0.004038593,0.000885259,6.96E-05,NA
0.097508204,0.012860213,0.004142785,0.000628548,5.14E-05,NA
0.389592716,0.052382173,0.01097509,0.002698826,0.000188239,NA
0.446723077,0.060621403,0.009586936,0.004157098,0.000285179,NA
0.394635708,0.052847541,0.008598242,0.003396944,0.000232644,NA
0.355553713,0.056760432,0.010124105,0.002864422,0.000213674,NA
0.066945794,0.009117311,0.002570674,0.000566212,5.23E-05,NA
0.13808832,0.011962073,0.002287121,0.001430488,9.70E-05,NA
0.086905795,0.012541567,0.002640865,0.000860428,7.72E-05,NA
0.074383853,0.01460286,0.003033078,0.000744722,7.70E-05,NA
0.153888665,0.019760612,0.003042522,0.00227644,0.000166562,NA
0.121966273,0.021580524,0.003008298,0.001903578,0.000166422,NA
