chl,adg.440,bbp550,chl.sd,adg440.sd,bbp550.sd
0.015737659,0.009466142,0.001778685,0.000192194,4.16E-05,1.98E-07
0.035973356,0.009509052,0.002462758,0.000293476,4.02E-05,2.03E-07
0.083056528,0.010785066,0.001908324,0.000772379,6.75E-05,2.28E-07
0.062778647,0.034651239,0.002183372,0.001314477,0.00021147,2.82E-07
0.055611987,0.031627721,0.002373604,0.001015285,0.000169157,2.73E-07
0.047621001,0.015386894,0.001466491,0.00070457,9.45E-05,2.33E-07
0.025405262,0.019540626,0.001374498,0.000564775,0.000121944,2.35E-07
0.558209498,0.180767224,0.005749864,0.015483086,0.00141044,7.35E-07
0.886143692,0.144725355,0.006405334,0.014999503,0.001040319,6.74E-07
0.460147166,0.046531141,0.00308822,0.006622361,0.000400087,4.11E-07
0.426070133,0.047614566,0.003164605,0.006088948,0.000386398,4.13E-07
0.458315869,0.053965978,0.003570037,0.006377392,0.000410361,4.46E-07
0.463335276,0.045441256,0.003266078,0.006127729,0.000365477,4.21E-07
0.333962505,0.048612396,0.003154562,0.005005846,0.000364308,3.92E-07
0.338461043,0.045117304,0.003269155,0.004588178,0.000322274,3.86E-07
0.817705245,0.319551916,0.017036889,0.010100424,0.000957558,1.96E-06
0.489459142,0.394975898,0.015298096,0.009935212,0.001230938,1.25E-06
1.272353323,0.291085454,0.018939518,0.011532166,0.000889844,1.89E-06
2.762489093,0.248885213,0.018346014,0.019285514,0.001043693,1.97E-06
0.462136339,0.048590356,0.002480727,0.008976879,0.000516761,6.86E-07
0.203631406,0.041170335,0.002346641,0.003779093,0.000278976,4.53E-07
0.172196295,0.032385351,0.002080972,0.002901515,0.000203954,4.02E-07
0.153576493,0.022975512,0.002125978,0.001925391,0.000133586,3.59E-07
0.210247753,0.034900585,0.002161429,0.003569496,0.000243935,4.36E-07
0.066021083,0.011354049,0.002480843,0.000514573,4.68E-05,2.59E-07
0.056751223,0.011158728,0.002413809,0.000463379,4.47E-05,2.55E-07
0.055090201,0.010095789,0.002375393,0.000428283,4.12E-05,2.49E-07
0.038646574,0.008211702,0.001991787,0.000323494,3.45E-05,2.42E-07
0.050328168,0.007663025,0.002323824,0.000342972,3.29E-05,2.51E-07
0.057436234,0.007149326,0.002141788,0.000390156,3.70E-05,2.08E-07
0.046676397,0.007800898,0.001916405,0.000366444,3.54E-05,2.50E-07
0.159641176,0.017932953,0.002090088,0.001641857,0.000119147,2.68E-07
0.13519684,0.015013644,0.002224468,0.001199861,9.00E-05,2.53E-07
0.115886898,0.013928218,0.002239261,0.001001321,7.99E-05,2.43E-07
0.165458701,0.014075317,0.003645699,0.000943733,6.21E-05,3.14E-07
0.103312995,0.011009228,0.003098758,0.000612995,4.69E-05,2.69E-07
0.125187832,0.015876538,0.002111742,0.001226958,8.62E-05,3.25E-07
0.143953758,0.014766905,0.002781915,0.001052786,7.72E-05,2.50E-07
0.071882401,0.010627332,0.001881138,0.000626542,5.17E-05,2.62E-07
0.085596834,0.010743676,0.002259552,0.000657735,5.70E-05,2.26E-07
0.043670096,0.007661687,0.002003756,0.000337324,3.37E-05,2.49E-07
0.071366989,0.00758221,0.0026034,0.000423322,3.70E-05,2.09E-07
0.069536436,0.008404417,0.002390653,0.00045266,3.81E-05,2.56E-07
0.091329475,0.013851044,0.002147675,0.000844503,6.65E-05,2.91E-07
0.082648161,0.014373182,0.002227935,0.000781773,6.50E-05,2.90E-07
0.071201556,0.014064463,0.001990204,0.000743488,6.34E-05,2.85E-07
0.067322946,0.006730615,0.003246738,0.000341154,3.05E-05,2.08E-07
0.035566243,0.006009351,0.002497831,0.000226222,2.49E-05,3.04E-07
0.067537357,0.007280458,0.002142791,0.000444651,3.88E-05,2.12E-07
0.056437341,0.00715155,0.00183519,0.000419566,3.96E-05,2.10E-07
0.107520465,0.010202818,0.002641797,0.000681715,5.19E-05,2.29E-07
0.060424687,0.008408564,0.002095694,0.000452055,4.37E-05,2.12E-07
0.043482169,0.007451812,0.002602517,0.000284669,2.97E-05,2.46E-07
0.054473585,0.008020273,0.002384186,0.000368551,3.44E-05,2.50E-07
0.072890639,0.010068964,0.001963901,0.000613555,5.62E-05,2.23E-07
0.267336366,0.028532898,0.004471521,0.001986441,0.000129498,4.29E-07
0.62795536,0.061599331,0.010016929,0.00339297,0.000200429,5.27E-07
0.408932134,0.043960825,0.012507372,0.001687356,0.00011195,5.63E-07
0.668358955,0.080567704,0.022348684,0.002441707,0.00015756,6.67E-07
0.35954141,0.051137429,0.002725004,0.00676641,0.000444531,6.10E-07
1.258360264,0.070548582,0.00290345,0.025784517,0.001120816,9.63E-07
1.282953696,0.076050813,0.002709798,0.030602277,0.001358533,1.03E-06
0.273583048,0.03170911,0.001977255,0.004266117,0.000285682,3.40E-07
0.302053873,0.034869062,0.002913612,0.003856792,0.000240613,4.98E-07
0.182161312,0.024140806,0.006328442,0.000950002,7.48E-05,3.49E-07
0.121949155,0.015042913,0.004483636,0.000659633,5.31E-05,2.98E-07
0.115829211,0.014126278,0.004573622,0.000601009,4.90E-05,2.87E-07
0.228949386,0.026698088,0.007420748,0.001090831,8.01E-05,3.82E-07
0.267650175,0.031292604,0.006252858,0.001583414,0.000110494,4.24E-07
0.271237294,0.035974619,0.006496644,0.001717328,0.000124929,4.43E-07
0.311805567,0.032821397,0.007217049,0.001670035,0.000110947,4.56E-07
0.35865099,0.03145263,0.007176125,0.001858069,0.00011323,4.83E-07
0.209862986,0.025792467,0.003202505,0.001980781,0.000134329,3.94E-07
0.250643569,0.030967023,0.003273479,0.0026326,0.000174799,4.38E-07
0.253328685,0.033349284,0.003257613,0.002820018,0.000191,4.45E-07
0.214559188,0.021731003,0.00375215,0.001553736,0.000101474,3.78E-07
0.300041087,0.032691939,0.002939924,0.003600682,0.000220766,4.87E-07
0.245274089,0.027221737,0.002978562,0.002534722,0.000160926,4.26E-07
0.214640785,0.025027146,0.002546448,0.002302214,0.000162754,2.97E-07
0.233625765,0.02540347,0.003254063,0.002129984,0.000137024,4.09E-07
0.063246988,0.009349794,0.00217838,0.000477131,4.20E-05,2.53E-07
0.046527814,0.007306188,0.002253324,0.00032093,3.16E-05,2.54E-07
0.037101762,0.008422796,0.001768936,0.000342391,3.64E-05,2.43E-07
0.076042854,0.010750681,0.002287667,0.000581251,4.85E-05,2.62E-07
0.061587473,0.009171534,0.00230056,0.000445703,4.00E-05,2.51E-07
0.067524474,0.00889839,0.002437118,0.000452164,3.91E-05,2.53E-07
0.060697212,0.008214506,0.002629983,0.000380752,3.45E-05,2.50E-07
0.03455982,0.006061616,0.002251323,0.000234716,2.58E-05,3.02E-07
0.039566223,0.006205154,0.002411342,0.000253014,2.64E-05,2.93E-07
0.034590417,0.005815494,0.002648034,0.000211728,2.37E-05,3.26E-07
0.019707834,0.003872267,0.0029867,0.000113645,1.59E-05,NA
0.02516432,0.004820768,0.002568433,0.000158552,1.99E-05,NA
0.017182583,0.003930558,0.002747082,0.000108358,1.61E-05,NA
0.025916094,0.004242314,0.003323247,0.00013559,1.71E-05,NA
0.023765534,0.003947952,0.003263512,0.000125448,1.63E-05,NA
0.030776948,0.004744383,0.002370338,0.000195841,2.35E-05,1.35E-08
0.024364934,0.004708318,0.002732365,0.000148142,1.91E-05,NA
0.032535209,0.005054349,0.003049185,0.000177515,2.04E-05,NA
0.03555937,0.005353728,0.002532643,0.000220751,2.55E-05,8.50E-07
0.045871824,0.006062233,0.00245431,0.000283996,2.95E-05,2.24E-07
0.030387931,0.005639757,0.00266295,0.000189474,2.25E-05,3.47E-07
0.040729313,0.006133929,0.002935587,0.000230646,2.45E-05,2.88E-07
0.050389046,0.006722997,0.002492719,0.000316606,3.22E-05,2.05E-07
0.052413688,0.006916562,0.002439131,0.000334425,3.35E-05,2.05E-07
0.056518228,0.010892566,0.00121694,0.000692113,5.79E-05,2.63E-07
