"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"116",0.665089464947437,1.29283405420646,1.1255088323612,0.557412445469358,0.684013516755695,1.02743442198158,0.781396367711967,1.24200549773624,0.877037749588638,0.712169624934224,1.02424572860906,1.30480321840822,1.08187481371685,0.666012897106366,1.18275640849001,1.29996161237582,0.951718281667885,0.704786322999407,0.828051692893172,1.16801181425796,0.634435493236188,1.09981790806676,0.735424392761893,0.685270798054622,0.828404315919812,0.825460869107946,0.44400421019647
"117",0.65584140733838,1.27818133887982,1.11444250871967,0.550647460916705,0.67461631344781,1.01273331326345,0.769846839921722,1.22480603395416,0.866195554933477,0.707420646470962,1.02000906639901,1.30076746701767,1.07691764334648,0.659585841147406,1.16709733730719,1.28086058201047,0.939362240379232,0.698081110427376,0.826312161063537,1.16799011273894,0.635268628631519,1.09933043026964,0.733105168107435,0.677183531736275,0.813946170802772,0.811770858216184,0.436650931518425
"118",0.652197610139867,1.27043022308052,1.10735491346288,0.546795813860255,0.66799583174829,1.00177618659138,0.761093391192151,1.21058541162304,0.855807959403939,0.697909840448774,1.00564250826894,1.28210367388941,1.06167967930741,0.650701950261735,1.15194544256867,1.26448539383778,0.92769117105702,0.690082599091343,0.81853257876477,1.1576575727876,0.629877835173089,1.09005648931563,0.726977355306182,0.671692053004318,0.807616596773271,0.805317546831821,0.433177662617704
"119",0.640577031945613,1.24305395859422,1.0810878368075,0.535788633895042,0.65660238036567,0.98579262699206,0.749396842857766,1.19243782491496,0.843492372093329,0.689462967542875,0.994487746921511,1.26841520267445,1.04975464893822,0.642155440673708,1.13525186626829,1.24546257100504,0.913644463317561,0.679289291960101,0.804869517832832,1.13799600907547,0.61906034097723,1.07300693884288,0.71733390027354,0.667930653090712,0.807832286988996,0.804342221283485,0.432635790402554
"120",0.637050018196376,1.24625375577542,1.08898579722427,0.536571800164555,0.656917655962823,0.985920909946385,0.749439188251466,1.19146510857043,0.841635268077215,0.684313517713055,0.984752964748371,1.25478554049705,1.0384990946841,0.635321642725392,1.12323566832392,1.2323089593916,0.905008488480555,0.674699776315095,0.804010991282321,1.13858123137084,0.620000222153238,1.07428517533084,0.717826367322107,0.667312485716786,0.806716105604604,0.802936788688247,0.431875575809581
"121",0.627843481698308,1.22392392446949,1.06729193830965,0.527355731667751,0.646417023069696,0.970580606898517,0.737885202890998,1.17393897815858,0.830202808990127,0.67796627867578,0.977502069981655,1.24654184221433,1.03232413215164,0.632903755412182,1.12068189006238,1.23027687028205,0.902003346267068,0.6699395809392,0.792054328985889,1.1191943606242,0.608599052348371,1.05374231364856,0.703286509664632,0.651375915110416,0.785200699008727,0.782105995429775,0.420679792532704
"122",0.621405302963505,1.20906710489897,1.05316732319364,0.521196067569408,0.639386118215365,0.960301899640028,0.730259869152757,1.16110921214426,0.820344756395111,0.667477073869437,0.960827661096914,1.22446091691815,1.01378212269783,0.620999531055296,1.09892568833352,1.20609057210227,0.885309245880308,0.659332091483063,0.783998255380951,1.10957671812642,0.603979861865854,1.04523236473045,0.69707768639845,0.644049231755651,0.774544148813083,0.772185035478615,0.415353559241982
"123",0.615960242926406,1.2017645510608,1.04847836300606,0.517923484746322,0.635408469672316,0.954347635011291,0.725727078563573,1.15404729593781,0.815518703574886,0.664058277247341,0.956230522972705,1.21876774445687,1.007737441599,0.614503787776988,1.08390029432691,1.18802246113728,0.872556374202645,0.650341497096127,0.77457363199744,1.09673380498707,0.597159782444614,1.03348333847984,0.689297557591614,0.637026206221203,0.765713815623381,0.763815010144453,0.41085765532656
"124",0.605273070882464,1.1856189226807,1.03677555123893,0.509632281691071,0.621215662926701,0.930880453292631,0.706764127096018,1.1256323861796,0.797395828215405,0.655385879843016,0.947622963465127,1.20984187294132,1.00043636348881,0.610218258634342,1.0765527073324,1.18006385504417,0.865789631558886,0.643665867228823,0.762551263995805,1.07811983213393,0.586475363382277,1.01549433984975,0.677818516321541,0.627964658501128,0.756307232271289,0.754018952184652,0.405582356826468
"125",0.605637406151574,1.18487625477012,1.03539138432956,0.50981602829296,0.623007791772051,0.934410018100946,0.710005834525469,1.12881081867555,0.797418959299659,0.648492497824414,0.933288326822018,1.18925075341254,0.983852959149836,0.601035367216638,1.06153551530778,1.16413310927218,0.854624734656679,0.636445003411712,0.756696645243706,1.07090323206318,0.582915828251629,1.00931205967063,0.673672495830544,0.624065516320036,0.751234748999618,0.749259301857099,0.403026479988888
