wave,station,at_w,boat
505,StationOUT-F01,0.477204943,kildir
506,StationOUT-F01,0.469341461,kildir
507,StationOUT-F01,0.46557638,kildir
508,StationOUT-F01,0.464167698,kildir
509,StationOUT-F01,0.455235074,kildir
510,StationOUT-F01,0.448841753,kildir
511,StationOUT-F01,0.440613932,kildir
512,StationOUT-F01,0.439033186,kildir
513,StationOUT-F01,0.434861048,kildir
514,StationOUT-F01,0.429241653,kildir
515,StationOUT-F01,0.424955231,kildir
516,StationOUT-F01,0.422272434,kildir
517,StationOUT-F01,0.418335101,kildir
518,StationOUT-F01,0.410463779,kildir
519,StationOUT-F01,0.408653909,kildir
520,StationOUT-F01,0.403173796,kildir
521,StationOUT-F01,0.399810707,kildir
522,StationOUT-F01,0.396036074,kildir
523,StationOUT-F01,0.389555402,kildir
524,StationOUT-F01,0.385860315,kildir
525,StationOUT-F01,0.381598679,kildir
526,StationOUT-F01,0.378782826,kildir
527,StationOUT-F01,0.375967569,kildir
528,StationOUT-F01,0.370383579,kildir
529,StationOUT-F01,0.36589823,kildir
530,StationOUT-F01,0.35902459,kildir
531,StationOUT-F01,0.358192105,kildir
532,StationOUT-F01,0.355586634,kildir
533,StationOUT-F01,0.351785225,kildir
534,StationOUT-F01,0.345430373,kildir
535,StationOUT-F01,0.345457245,kildir
536,StationOUT-F01,0.344059882,kildir
537,StationOUT-F01,0.335640274,kildir
538,StationOUT-F01,0.333256073,kildir
539,StationOUT-F01,0.329544684,kildir
540,StationOUT-F01,0.328364354,kildir
541,StationOUT-F01,0.323163749,kildir
542,StationOUT-F01,0.320717626,kildir
543,StationOUT-F01,0.3160753,kildir
544,StationOUT-F01,0.3144954,kildir
545,StationOUT-F01,0.310165689,kildir
546,StationOUT-F01,0.306675892,kildir
547,StationOUT-F01,0.303645895,kildir
548,StationOUT-F01,0.300211737,kildir
549,StationOUT-F01,0.298483574,kildir
550,StationOUT-F01,0.29641283,kildir
551,StationOUT-F01,0.292852522,kildir
552,StationOUT-F01,0.291069405,kildir
553,StationOUT-F01,0.286037483,kildir
554,StationOUT-F01,0.283068596,kildir
555,StationOUT-F01,0.281793137,kildir
556,StationOUT-F01,0.279531425,kildir
