ID,Lambda,rho,Target,Background
002,502.4,0.75,Touffue,NA
002,503.9,0.76,Touffue,NA
002,505.5,0.78,Touffue,NA
002,507.1,0.79,Touffue,NA
002,508.6,0.81,Touffue,NA
002,510.2,0.82,Touffue,NA
002,511.8,0.84,Touffue,NA
002,513.4,0.86,Touffue,NA
002,514.9,0.87,Touffue,NA
002,516.5,0.89,Touffue,NA
002,518.1,0.91,Touffue,NA
002,519.6,0.93,Touffue,NA
002,521.2,0.95,Touffue,NA
002,522.8,0.97,Touffue,NA
002,524.3,0.98,Touffue,NA
002,525.9,1,Touffue,NA
002,527.5,1.02,Touffue,NA
002,529,1.04,Touffue,NA
002,530.6,1.06,Touffue,NA
002,532.2,1.08,Touffue,NA
002,533.7,1.11,Touffue,NA
002,535.3,1.13,Touffue,NA
002,536.9,1.15,Touffue,NA
002,538.4,1.18,Touffue,NA
002,540,1.2,Touffue,NA
002,541.5,1.24,Touffue,NA
002,543.1,1.27,Touffue,NA
002,544.7,1.31,Touffue,NA
002,546.2,1.35,Touffue,NA
002,547.8,1.4,Touffue,NA
002,549.3,1.45,Touffue,NA
002,550.9,1.51,Touffue,NA
002,552.5,1.57,Touffue,NA
002,554,1.64,Touffue,NA
002,555.6,1.72,Touffue,NA
002,557.1,1.8,Touffue,NA
002,558.7,1.88,Touffue,NA
002,560.2,1.97,Touffue,NA
002,561.8,2.07,Touffue,NA
002,563.3,2.16,Touffue,NA
002,564.9,2.25,Touffue,NA
002,566.4,2.34,Touffue,NA
002,568,2.43,Touffue,NA
002,569.5,2.5,Touffue,NA
002,571.1,2.57,Touffue,NA
002,572.7,2.63,Touffue,NA
002,574.2,2.68,Touffue,NA
002,575.8,2.72,Touffue,NA
002,577.3,2.76,Touffue,NA
002,578.8,2.78,Touffue,NA
002,580.4,2.81,Touffue,NA
002,581.9,2.82,Touffue,NA
002,583.5,2.83,Touffue,NA
002,585,2.84,Touffue,NA
002,586.6,2.85,Touffue,NA
002,588.1,2.86,Touffue,NA
002,589.7,2.9,Touffue,NA
002,591.2,2.93,Touffue,NA
002,592.8,2.98,Touffue,NA
002,594.3,3.04,Touffue,NA
002,595.8,3.12,Touffue,NA
002,597.4,3.17,Touffue,NA
002,598.9,3.23,Touffue,NA
002,600.5,3.28,Touffue,NA
002,602,3.31,Touffue,NA
002,603.5,3.31,Touffue,NA
002,605.1,3.29,Touffue,NA
002,606.6,3.2,Touffue,NA
002,608.1,3.1,Touffue,NA
002,609.7,3,Touffue,NA
002,611.2,2.86,Touffue,NA
002,612.7,2.76,Touffue,NA
002,614.3,2.68,Touffue,NA
002,615.8,2.58,Touffue,NA
002,617.3,2.5,Touffue,NA
002,618.9,2.45,Touffue,NA
002,620.4,2.37,Touffue,NA
002,621.9,2.3,Touffue,NA
002,623.5,2.27,Touffue,NA
002,625,2.27,Touffue,NA
002,626.5,2.24,Touffue,NA
002,628,2.22,Touffue,NA
002,629.6,2.2,Touffue,NA
002,631.1,2.19,Touffue,NA
002,632.6,2.16,Touffue,NA
002,634.2,2.15,Touffue,NA
002,635.7,2.13,Touffue,NA
002,637.2,2.13,Touffue,NA
002,638.7,2.16,Touffue,NA
002,640.2,2.19,Touffue,NA
002,641.8,2.24,Touffue,NA
002,643.3,2.31,Touffue,NA
002,644.8,2.39,Touffue,NA
002,646.3,2.45,Touffue,NA
002,647.8,2.53,Touffue,NA
002,649.4,2.48,Touffue,NA
002,650.9,2.44,Touffue,NA
002,652.4,2.37,Touffue,NA
002,653.9,2.29,Touffue,NA
002,655.4,2.2,Touffue,NA
002,656.9,2.06,Touffue,NA
002,658.5,1.91,Touffue,NA
002,660,1.77,Touffue,NA
002,661.5,1.64,Touffue,NA
002,663,1.64,Touffue,NA
002,664.5,1.65,Touffue,NA
002,666,1.68,Touffue,NA
002,667.5,1.7,Touffue,NA
002,669,1.78,Touffue,NA
002,670.5,1.98,Touffue,NA
002,672,2.25,Touffue,NA
002,673.5,2.56,Touffue,NA
002,675,2.8,Touffue,NA
002,676.5,3.1,Touffue,NA
002,678,3.45,Touffue,NA
002,679.5,3.79,Touffue,NA
002,681,4.1,Touffue,NA
002,682.5,4.35,Touffue,NA
002,684,4.63,Touffue,NA
002,685.5,4.98,Touffue,NA
002,687,5.7,Touffue,NA
002,688.5,6.3,Touffue,NA
002,690,6.74,Touffue,NA
002,691.5,7.04,Touffue,NA
002,693,7.81,Touffue,NA
002,694.5,8.56,Touffue,NA
002,696,9.46,Touffue,NA
002,697.5,10.45,Touffue,NA
002,699,11.65,Touffue,NA
002,700.5,13.02,Touffue,NA
002,702,14.64,Touffue,NA
002,703.5,16.17,Touffue,NA
002,705,17.96,Touffue,NA
002,706.5,20.31,Touffue,NA
002,707.9,21.75,Touffue,NA
002,709.4,23.92,Touffue,NA
002,710.9,26.46,Touffue,NA
002,712.4,28.68,Touffue,NA
002,713.9,31.69,Touffue,NA
002,715.3,35.28,Touffue,NA
002,716.8,40.71,Touffue,NA
002,718.3,48.1,Touffue,NA
002,719.8,55.88,Touffue,NA
002,721.3,62.07,Touffue,NA
002,722.8,68.8,Touffue,NA
002,724.2,73.04,Touffue,NA
002,725.7,76.19,Touffue,NA
002,727.2,79,Touffue,NA
002,728.7,82.22,Touffue,NA
002,730.1,87.5,Touffue,NA
002,731.6,94.67,Touffue,NA
002,733.1,92,Touffue,NA
002,734.5,83.75,Touffue,NA
002,736,77.5,Touffue,NA
002,737.5,78.67,Touffue,NA
002,738.9,98.18,Touffue,NA
002,740.4,94.55,Touffue,NA
002,741.9,92.73,Touffue,NA
002,743.3,94.55,Touffue,NA
002,744.8,81.67,Touffue,NA
002,746.3,88,Touffue,NA
002,747.7,88,Touffue,NA
002,749.2,88.89,Touffue,NA
002,750.7,70.91,Touffue,NA
002,752.1,80,Touffue,NA
002,753.6,68.89,Touffue,NA
002,755,75,Touffue,NA
002,756.5,64.44,Touffue,NA
002,757.9,67.5,Touffue,NA
002,759.4,77.5,Touffue,NA
002,760.8,72.5,Touffue,NA
002,762.3,60,Touffue,NA
002,763.7,52.5,Touffue,NA
