class,wavelength,r_rs_b_mean,r_rs_b_sd
agar,792.7,0.09124915054515642,0.06602274891138844
agar,794.1,0.09601523155477068,0.06883130192201058
agar,795.6,0.09665119722784628,0.055651994108400805
agar,797,0.09230930392964679,0.06750491594707096
agar,798.4,0.07887262160943352,0.06031827454762778
agar,799.9,0.07697706892480938,0.05482399165851412
alaria,338.5,0.005190123698095267,0.006426399795181993
alaria,340.2,0.0048571886728935405,0.004744567793954219
alaria,341.8,0.004809709475995669,0.0034290104127145315
alaria,343.4,0.005141841659341989,0.002739091567512914
alaria,345.1,0.0063301240901834695,0.002852893135383596
alaria,346.7,0.006390726173907945,0.007532332425377285
alaria,348.4,0.0050746980930418345,0.005175764824814506
alaria,350,0.006761092504541164,0.006186793753860359
alaria,351.6,0.0055776460476102485,0.0021516530828070224
alaria,353.3,0.006422565107859389,0.004117855489172877
alaria,354.9,0.007427637613765176,0.00685444739881578
alaria,356.5,0.004016815577190773,0.0050153286729032074
alaria,358.2,0.0036325210920106726,0.0049204615295285956
alaria,359.8,0.001889394605310772,0.0037387645034166347
alaria,361.4,0.0037329967924413887,0.005933438520865358
alaria,363.1,0.003690921081518645,0.0028348592225565026
alaria,364.7,0.005408233851734302,0.0029917032366580183
alaria,366.3,0.0051613209178521784,0.005156145229680921
alaria,368,0.005218402335412706,0.004409169429268521
alaria,369.6,0.006517845996495661,0.005324460989450333
alaria,371.2,0.0055891540468357434,0.007441245249046796
alaria,372.8,0.005114498868788939,0.005509587643735165
alaria,374.5,0.005067339997703454,0.004921956320778571
alaria,376.1,0.005767645603553259,0.003171355992504865
alaria,377.7,0.005048777549059318,0.0020894139123517836
alaria,379.4,0.0050263364713568435,0.001085777528979062
alaria,381,0.004406350278910301,0.0026213902751154707
alaria,382.6,0.004521865354808172,0.0026476607430587443
alaria,384.2,0.004841211922485126,0.002410357622754935
alaria,385.8,0.00536763139805144,0.0027529558008185322
alaria,387.5,0.004457219290637163,0.0028754968074716745
alaria,389.1,0.004982518002852213,0.0030032234661809894
alaria,390.7,0.004000512155664009,0.0021363189573560207
alaria,392.3,0.0035400008112967496,0.0016530804387892384
alaria,394,0.004399751293783438,0.0024152900355704607
alaria,395.6,0.003973022137263845,0.002207564569133439
alaria,397.2,0.004152531267306349,0.002185869464922185
alaria,398.8,0.003760705826034594,0.0018691786497994352
alaria,400.4,0.003218514878258985,0.0016310857666884738
alaria,402,0.0029693972673358283,0.0011114985714667828
alaria,403.6,0.0030622290822947392,0.001383131721107653
alaria,405.3,0.0032579460840138365,0.0015762194123997266
alaria,406.9,0.00330089779764407,0.0018616971663680763
alaria,408.5,0.003095774607906075,0.0018089024628322183
alaria,410.1,0.0029249905638573364,0.0015677975371111551
alaria,411.7,0.0028471980651134073,0.00143206321603304
alaria,413.3,0.0026476887229664914,0.0012855047687401122
alaria,414.9,0.0027146911005489225,0.0015424109565306912
alaria,416.5,0.002574099532614753,0.001338163091005065
alaria,418.2,0.0026297637894116305,0.001305061016312119
alaria,419.8,0.0025194117935700465,0.0012554647666907965
