class,wavelength,r_b_mean,r_b_sd
coraline_crustose_algae,554,0.11232249999999999,0.03845610185043784
coraline_crustose_algae,556,0.11198433333333331,0.03793254912505879
coraline_crustose_algae,558,0.11109975,0.037055794043408356
coraline_crustose_algae,560,0.10960025,0.03577494131988159
coraline_crustose_algae,562,0.107708,0.03415857445633365
coraline_crustose_algae,564,0.10595991666666668,0.03273319152846069
coraline_crustose_algae,566,0.10479908333333333,0.031667488611043286
coraline_crustose_algae,568,0.104752,0.031293199616246055
coraline_crustose_algae,570,0.10658908333333339,0.03189414461347104
coraline_crustose_algae,572,0.11063500000000004,0.033911621579113635
coraline_crustose_algae,574,0.11688933333333335,0.036917844405592835
coraline_crustose_algae,576,0.1250533333333334,0.040544520386031555
coraline_crustose_algae,578,0.1352353333333334,0.04458380804011286
coraline_crustose_algae,580,0.14580399999999996,0.04828696335451205
coraline_crustose_algae,582,0.15638124999999992,0.05137011609997572
coraline_crustose_algae,584,0.16644399999999987,0.054128087717930574
coraline_crustose_algae,586,0.17558999999999997,0.056284371720753894
coraline_crustose_algae,588,0.18386000000000005,0.05797041333492658
coraline_crustose_algae,590,0.19087999999999997,0.05939703827259035
coraline_crustose_algae,592,0.19706000000000004,0.06032139532848195
coraline_crustose_algae,594,0.20212933333333338,0.06094285330445962
coraline_crustose_algae,596,0.20635000000000003,0.06149280763329154
coraline_crustose_algae,598,0.209148,0.06189052438692767
coraline_crustose_algae,600,0.21087875,0.0620551718042602
coraline_crustose_algae,602,0.21133066666666667,0.06183093195696363
coraline_crustose_algae,604,0.210325,0.06116428504956959
coraline_crustose_algae,606,0.20823466666666662,0.06015519935042094
coraline_crustose_algae,608,0.2052213333333333,0.058944193267869864
coraline_crustose_algae,610,0.20163066666666668,0.057687840159103006
coraline_crustose_algae,612,0.19752666666666666,0.05631637200278042
coraline_crustose_algae,614,0.19350749999999997,0.05507870990824176
coraline_crustose_algae,616,0.18979333333333331,0.05395890617456545
coraline_crustose_algae,618,0.18664124999999998,0.05298128736416179
coraline_crustose_algae,620,0.18427266666666667,0.05218378285298243
coraline_crustose_algae,622,0.18274075,0.05172918078802331
coraline_crustose_algae,624,0.18194666666666665,0.05149737506794777
coraline_crustose_algae,626,0.181968,0.051474179589814185
coraline_crustose_algae,628,0.182536,0.051631615120970226
coraline_crustose_algae,630,0.18389249999999996,0.05193540330287844
coraline_crustose_algae,632,0.18561600000000003,0.052470277004118174
coraline_crustose_algae,634,0.187871,0.05322343611488273
coraline_crustose_algae,636,0.19106133333333336,0.05425158049925066
coraline_crustose_algae,638,0.19488841666666668,0.05543559173200093
coraline_crustose_algae,640,0.19935866666666666,0.056726214868730127
coraline_crustose_algae,642,0.20383733333333343,0.05827442598983232
coraline_crustose_algae,644,0.2079013333333334,0.05955739704035279
coraline_crustose_algae,646,0.21148775000000003,0.06081470307160515
coraline_crustose_algae,648,0.21371,0.06126049297875425
coraline_crustose_algae,650,0.21342133333333335,0.060884767188152715
coraline_crustose_algae,652,0.211276,0.05997462696841058
coraline_crustose_algae,654,0.20757866666666666,0.058795249127799445
coraline_crustose_algae,656,0.20244666666666664,0.057085464388445195
coraline_crustose_algae,658,0.19490125000000003,0.05406308135525576
coraline_crustose_algae,660,0.18351466666666674,0.049650018104506116
coraline_crustose_algae,662,0.1703240000000001,0.04488609549614331
coraline_crustose_algae,664,0.15714266666666676,0.0400947889659271
coraline_crustose_algae,666,0.14467066666666675,0.03565992104434465
coraline_crustose_algae,668,0.13469600000000007,0.0315642753758106
coraline_crustose_algae,670,0.12707066666666672,0.027845417576326678
coraline_crustose_algae,672,0.12190130291070297,0.02490371044578257
coraline_crustose_algae,674,0.11881597421144409,0.02262958586730929
coraline_crustose_algae,676,0.11769274677285183,0.0205960851323901
coraline_crustose_algae,678,0.1180804525014228,0.01963199215052854
coraline_crustose_algae,680,0.12094629171136315,0.019896862981699598
coraline_crustose_algae,682,0.12585558698825489,0.0220652152246364
coraline_crustose_algae,684,0.13291012370171085,0.025894007708578876
coraline_crustose_algae,686,0.14428874442199707,0.031058097918111902
coraline_crustose_algae,688,0.1602766473348166,0.03779283410189222
coraline_crustose_algae,690,0.1779395096813916,0.04682808219880522
coraline_crustose_algae,692,0.19944202359765562,0.058188217973395
coraline_crustose_algae,694,0.22631584411466865,0.07166269044076291
coraline_crustose_algae,696,0.2584298868103684,0.08736683294401051
